Latency,Type,Value
0,fixation,1
1.0115996543026995,priming_stimulus,reserved
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
0,eye_blink_artifact,1
